Name 	P 	dP/dt 	Bsurf 	dE/dt 	Tauc 	NH 	PL Index 	BB Temp 	Unabs fx{a} 	Distance 	Lx{b} 	Assoc? 	Opt/IR? 	Bands?{c} 	Activity? 	RA, Dec
SGR 1806-20 	7.547728(17)* [wkf+07] 	~49.5* [wkf+07] 	20 	45 	0.24 	6.9(4)* [emt+07] 	1.6(1)* [emt+07] 	0.55(7)* [emt+07] 	18(1) [emt+07] 	8.7+1.8-1.5 [bcfc08] 	163 	W31 (giant HII complex), MC 13A (molecular cloud), massive star cluster [ce04] 	yes 	H X O 	bursts, giant flare 	18h08m39.337s, -20°24′39.85″ [icm+05]
XTE J1810-197 	5.5403537(2) [ccr+07] 	0.777(3)* [ccr+07] 	2.1 	1.8 	11 	0.63(5)* [ghbb04] 	... 	0.18(2)* [ghbb04] 	0.029 [0.75 (0.5-10 keV)]* [ghbb04] 	3.5+0.5-0.4 [mcr+08] 	0.043 	... 	yes 	X O R 	bursts, transient magnetar 	18h09m51.087s, -19°43′51.93″ [hcb+07]
Swift J1822.3-1606 	8.43772106(6) [skc14] 	0.00214(21)* [skc14] 	0.14 	0.0014 	6300 	0.453(8)* [snl+12] 	... 	0.12(2)* [snl+12] 	<0.025 [0.13 (0.1-2.4 keV)]* [rie+12] 	1.6(3) [snl+12] 	<0.0077 	M17 (HII region)? [snl+12] 	no 	X 	bursts, transient magnetar 	18h22m18.00s, -16°04′26.8″ [ATel 3493]
SGR 1833-0832 	7.5654084(4) [eit+11] 	0.35(3) [eit+11] 	1.6 	0.32 	34 	... 	... 	... 	<0.2 [eit+11] 	... 	... 	... 	no 	X 	bursts 	18h33m44.37s, -08°31′07.5″ [gcl+10]
Swift J1834.9-0846 	2.4823018(1) [kkp+12] 	0.796(12) [kkp+12] 	1.4 	21 	4.9 	... 	... 	... 	<0.004 [ykk+12] 	4.2(3) [lt08a] 	<0.0084 	SNR W41 [kkp+12] 	no 	X 	bursts, transient magnetar 	18h34m52.118s, -08°45′56.02″ [kkp+12]
1E 1841-045 	11.788978(1) [dk14] 	4.092(15) [dk14] 	7.0 	0.99 	4.6 	2.2(1) [ks10] 	1.9(2) [ks10] 	0.45(3) [ks10] 	21.3 [43 (0.5-10 keV)] [ks10] 	8.5+1.3-1.0 [tl08] 	184 	SNR Kes 73 [vg97] 	maybe 	H X O? 	bursts, glitches 	18h41m19.343s, -04°56′11.16″ [wpk+04]
3XMM J185246.6+003317 	11.55871346(6) [rvi+14] 	<0.014 [rvi+14] 	<0.41 	<0.0036 	>1300 	... 	... 	... 	<0.001 [<0.4 (bolometric)] [rvi+14] 	~7.1 [zcl+14] 	<0.0060 	... 	no 	X 	transient magnetar 	18h52m46.67s, +00°33′17.8″ [3XMM-DR4]
SGR 1900+14 	5.19987(7)* [met+06] 	9.2(4)* [met+06] 	7.0 	26 	0.90 	2.12(8)* [met+06] 	1.9(1)* [met+06] 	0.47(2)* [met+06] 	4.8(2)* [met+06] 	12.5(1.7) [dfk+09] 	90 	massive star cluster [vhl+00] 	maybe 	H X O? 	bursts, giant flare 	19h07m14.33s, +09°19′20.1″ [fkb99]
SGR 1935+2154† 	3.24498(1) [ATel 6370] 	... 	... 	... 	... 	... 	... 	... 	... 	... 	... 	SNR G57.2+0.8 [GCN16533] 	no 	X 	bursts 	19h34m55.68s, +21°53′48.2″ [GCN16521]
1E 2259+586 	6.9790427250(15) [dk14] 	0.048369(6) [dk14] 	0.59 	0.056 	230 	1.012(7)* [zkd+08] 	3.75(4)* [zkd+08] 	0.37(1)* [zkd+08] 	14.1(3)* [zkd+08] 	3.2(2)* [kf12] 	17 	SNR CTB 109 [fg81] 	yes 	H X O I 	bursts, glitch, anti-glitch 	23h01m08.295s, +58°52′44.45″ [htv+01]
 
Name 	P 	dP/dt 	Bsurf 	dE/dt 	Tauc 	NH 	PL Index 	BB Temp 	Unabs fx{a} 	Distance 	Lx{b} 	Assoc? 	Opt/IR? 	Bands?{c} 	Activity? 	RA, Dec
  	(s) 	(10-11 s/s) 	(1014 G) 	(1033 erg/s) 	(kyr) 	(1022 cm-2) 	  	(keV) 	(10-12 erg/s/cm2) 	(kpc) 	(1033 erg/s) 	  	  	  	  	(J2000)
